"Yandex Metrika","Яндекс Метрика"
"Metrika Integration","Интеграция счетчика Метрики"
"Counter Number","Номер счётчика"
"Webvisor","Вебвизор"
"Clickmap","Карта кликов"
"trackLinks","Внешние ссылки, загрузки файлов и отчёт по кнопке «Поделиться»"
"accurateTrackBounce","Точный показатель отказов"
"trackHash","Отслеживание хеша в адресной строке браузера"
"Recording and analysis of site user behavior","Запись и анализ поведения посетителей сайта."
"Statistics used to create the "Click map" report","Сбор статистики для работы отчёта «Карта кликов»."
"Statistics for links to external resources, file downloads and "Share" buttons","Сбор статистики по ссылкам на внешние ресурсы, загрузке файлов и кнопке «Поделиться»."
"Any visit where a user only views one page and spends less than 15 seconds on it will be counted as a bounce","Отказом будет считаться посещение, в течение которого пользователь был на одной странице и посвятил ей менее 15 секунд."
"Option applied to AJAX sites","Опция применима для AJAX-сайтов."
"",""
"",""